n, tiempo
2105, 153
2106, 143
2107, 149
2108, 149
2109, 146
2110, 142
2111, 149
2112, 159
2113, 144
2114, 148
2115, 148
2116, 139
2117, 193
2118, 166
2119, 151
2120, 145
2121, 148
2122, 153
2123, 149
2124, 153
2125, 153
2126, 145
2127, 149
2128, 146
2129, 150
2130, 142
2131, 149
2132, 157
2133, 150
2134, 147
2135, 146
2136, 149
2137, 153
2138, 150
2139, 146
2140, 148
2141, 149
2142, 149
2143, 150
2144, 149
2145, 155
2146, 152
2147, 148
2148, 148
2149, 158
2150, 143
2151, 145
2152, 144
2153, 146
2154, 147
2155, 146
2156, 154
2157, 155
2158, 158
2159, 147
2160, 159
2161, 153
2162, 152
2163, 149
2164, 150
2165, 149
2166, 151
2167, 159
2168, 144
2169, 145
2170, 163
2171, 149
2172, 155
2173, 155
2174, 148
2175, 151
2176, 153
2177, 157
2178, 149
2179, 153
2180, 155
2181, 158
2182, 160
2183, 171
2184, 156
2185, 158
2186, 156
2187, 153
2188, 158
2189, 156
2190, 159
2191, 151
2192, 159
2193, 180
2194, 151
2195, 158
2196, 163
2197, 153
2198, 165
2199, 171
2200, 158
2201, 160
2202, 163
2203, 164
2204, 158
2205, 167
2206, 214
2207, 152
2208, 157
2209, 157
2210, 162
2211, 166
2212, 161
2213, 152
2214, 154
2215, 157
2216, 160
2217, 168
2218, 157
2219, 162
2220, 160
2221, 185
2222, 159
2223, 155
2224, 160
2225, 156
2226, 160
2227, 159
2228, 164
2229, 162
2230, 161
2231, 161
2232, 162
2233, 164
2234, 162
2235, 159
2236, 171
2237, 160
2238, 169
2239, 167
2240, 166
2241, 165
2242, 164
2243, 169
2244, 156
2245, 159
2246, 164
2247, 165
2248, 157
2249, 164
2250, 162
2251, 168
2252, 165
2253, 163
2254, 166
2255, 184
2256, 172
2257, 175
2258, 165
2259, 163
2260, 164
2261, 172
2262, 160
2263, 167
2264, 163
2265, 160
2266, 165
2267, 171
2268, 178
2269, 165
2270, 171
2271, 165
2272, 170
2273, 181
2274, 172
2275, 169
2276, 162
2277, 171
2278, 169
2279, 174
2280, 171
2281, 166
2282, 176
2283, 171
2284, 174
2285, 180
2286, 169
2287, 180
2288, 167
2289, 176
2290, 179
2291, 170
2292, 171
2293, 172
2294, 184
2295, 176
2296, 171
2297, 173
2298, 177
2299, 174
2300, 180
2301, 191
2302, 180
2303, 185
2304, 170
2305, 179
2306, 175
2307, 181
2308, 172
2309, 186
2310, 178
2311, 175
2312, 182
2313, 175
2314, 171
2315, 183
2316, 178
2317, 182
2318, 177
2319, 191
2320, 184
2321, 178
2322, 175
2323, 169
2324, 178
2325, 182
2326, 177
2327, 176
2328, 192
2329, 179
2330, 174
2331, 179
2332, 175
2333, 180
2334, 178
2335, 175
2336, 186
2337, 185
2338, 187
2339, 182
2340, 181
2341, 193
2342, 177
2343, 183
2344, 177
2345, 178
2346, 188
2347, 189
2348, 193
2349, 186
2350, 181
2351, 178
2352, 185
2353, 176
2354, 181
2355, 185
2356, 179
2357, 186
2358, 193
2359, 209
2360, 186
2361, 187
2362, 191
2363, 177
2364, 183
2365, 192
2366, 194
2367, 183
2368, 189
2369, 188
2370, 189
2371, 188
2372, 193
2373, 178
2374, 187
2375, 187
2376, 196
2377, 187
2378, 190
2379, 189
2380, 187
2381, 188
2382, 184
2383, 184
2384, 189
2385, 197
2386, 188
2387, 188
2388, 188
2389, 191
2390, 189
2391, 189
2392, 188
2393, 197
2394, 197
2395, 214
2396, 191
2397, 198
2398, 191
2399, 203
2400, 201
2401, 199
2402, 201
2403, 190
2404, 195
2405, 202
2406, 184
2407, 190
2408, 195
2409, 191
2410, 188
2411, 192
2412, 196
2413, 196
2414, 200
2415, 202
2416, 255
2417, 201
2418, 202
2419, 192
2420, 190
2421, 202
2422, 208
2423, 202
2424, 196
2425, 193
2426, 203
2427, 202
2428, 201
2429, 201
2430, 200
2431, 190
2432, 198
2433, 197
2434, 192
2435, 201
2436, 199
2437, 196
2438, 194
2439, 199
2440, 207
2441, 199
2442, 207
2443, 212
2444, 197
2445, 205
2446, 208
2447, 207
2448, 198
2449, 206
2450, 199
2451, 219
2452, 214
2453, 209
2454, 216
2455, 201
2456, 205
2457, 203
2458, 200
2459, 204
2460, 204
2461, 206
2462, 205
2463, 209
2464, 200
2465, 201
2466, 211
2467, 215
2468, 200
2469, 212
2470, 199
2471, 204
2472, 207
2473, 211
2474, 224
2475, 208
2476, 204
2477, 200
2478, 218
2479, 218
2480, 219
2481, 219
2482, 216
2483, 215
2484, 231
2485, 215
2486, 219
2487, 217
2488, 230
2489, 230
2490, 222
2491, 257
2492, 248
2493, 222
2494, 228
2495, 216
2496, 222
